CVE_ZM,NOM_ZM,CVE_ENT,NOM_ENT,CVE_MUN,NOM_MUN,POB_2015,POB_2020 proy,MC ,CF ,DIST_CC,TRAB_MUN,TRAB_MC,TRAB_OM,RES_MUN,RES_MC,RES_OM,POB_OANA,DMU_2010,DZC_ZM,PZC_ZM,PNDU,TIPO_MUN
1.01,Aguascalientes,1,Aguascalientes,1001,Aguascalientes,877190,961977,1,1,0,95.9,0.9,3.2,89.1,4.4,6.5,98.2,108.2,1,1,1,1
1.01,Aguascalientes,1,Aguascalientes,1005,Jesús María,120405,130184,1,1,0,58.3,34.9,6.8,83,9.7,7.3,94.7,75,1,1,1,1
1.01,Aguascalientes,1,Aguascalientes,1011,San Francisco de los Romo,46454,51568,0,0,13.2,63.9,31.4,4.7,48.8,23.6,27.7,92.9,83.3,1,1,1,2
2.01,Ensenada,2,Baja California,2001,Ensenada,486639,536143,1,0,0,99.5,0,0.5,99.3,0,0.7,82.6,54.3,n.a.,0,1,1
2.02,Mexicali,2,Baja California,2002,Mexicali,988417,1087478,1,0,0,99.4,0,0.6,99,0,1,93.2,59.3,n.a.,1,1,1
2.03,Tijuana,2,Baja California,2003,Tecate,102406,113857,0,0,21.6,96.9,2.6,0.6,95.3,3.8,0.9,96.3,47.4,1,1,1,3
2.03,Tijuana,2,Baja California,2004,Tijuana,1641570,1789531,1,0,0,99,0,1,98.7,0,1.3,99.6,89.3,1,1,1,1
2.03,Tijuana,2,Baja California,2005,Playas de Rosarito,96734,107859,0,0,2.5,86.2,12.8,0.9,90.8,8.8,0.4,96.9,38.4,1,1,1,2
3.01,La Paz,3,Baja California Sur,3003,La Paz,272711,301961,1,0,0,98.8,0,1.2,98.8,0,1.2,95.9,60.4,n.a.,1,1,1
4.01,Campeche,4,Campeche,4002,Campeche,283025,317424,1,0,0,96.8,0,3.2,91.3,0,8.7,94.7,69.3,1,1,1,1
